iter	Passed	Remaining
400	26299	39285
401	26361	39213
402	26435	39160
403	26506	39102
404	26577	39045
405	26646	38985
406	26715	38924
407	26773	38847
408	26834	38775
409	26893	38700
410	26961	38638
411	27033	38582
412	27099	38516
413	27168	38456
414	27239	38397
415	27310	38339
416	27379	38279
417	27439	38204
418	27511	38148
419	27575	38080
420	27636	38008
421	27702	37942
422	27773	37884
423	27832	37810
424	27899	37746
425	27964	37679
426	28021	37603
427	28079	37526
428	28137	37450
429	28198	37378
430	28270	37322
431	28342	37264
432	28406	37197
433	28472	37132
434	28554	37087
435	28608	37006
436	28684	36954
437	28741	36878
438	28827	36838
439	28875	36750
440	28933	36675
441	28981	36587
442	29032	36503
443	29081	36417
444	29158	36366
445	29225	36302
446	29303	36251
447	29366	36184
448	29428	36113
449	29478	36029
450	29532	35949
451	29598	35884
452	29657	35811
453	29718	35740
454	29776	35666
455	29835	35592
456	29896	35522
457	29959	35454
458	30028	35393
459	30082	35313
460	30156	35258
461	30215	35185
462	30281	35121
463	30342	35050
464	30404	34981
465	30491	34940
466	30559	34878
467	30635	34824
468	30697	34756
469	30762	34689
470	30834	34631
471	30898	34564
472	30965	34500
473	31021	34425
474	31085	34357
475	31147	34288
476	31221	34232
477	31283	34162
478	31342	34090
479	31402	34019
480	31471	33957
481	31551	33908
482	31613	33838
483	31672	33766
484	31727	33689
485	31788	33620
486	31856	33556
487	31926	33496
488	31984	33422
489	32046	33354
490	32122	33300
491	32193	33240
492	32266	33183
493	32324	33109
494	32380	33034
495	32436	32960
496	32497	32889
497	32567	32829
498	32627	32758
499	32687	32687
500	32747	32617
501	32798	32537
502	32873	32481
503	32946	32423
504	32996	32342
505	33060	32276
506	33127	32212
507	33198	32153
508	33255	32079
509	33314	32007
510	33406	31968
511	33498	31928
512	33571	31870
513	33631	31799
514	33698	31735
515	33753	31660
516	33812	31588
517	33868	31514
518	33957	31470
519	34010	31394
520	34067	31320
521	34129	31252
522	34185	31178
523	34243	31106
524	34305	31038
525	34359	30963
526	34411	30885
527	34473	30817
528	34541	30753
529	34611	30693
530	34685	30635
531	34751	30571
532	34817	30506
533	34880	30439
534	34941	30369
535	35002	30300
536	35063	30231
537	35134	30171
538	35193	30100
539	35260	30036
540	35326	29971
541	35388	29904
542	35457	29841
543	35518	29772
544	35582	29706
545	35648	29641
546	35717	29579
547	35785	29516
548	35850	29450
549	35925	29393
550	35985	29324
551	36047	29255
552	36098	29179
553	36163	29113
554	36219	29040
555	36276	28968
556	36333	28897
557	36398	28832
558	36465	28767
559	36531	28703
560	36610	28648
561	36667	28576
562	36748	28524
563	36822	28465
564	36882	28396
565	36953	28335
566	37011	28264
567	37088	28208
568	37157	28145
569	37234	28089
570	37297	28022
571	37376	27967
572	37447	27906
573	37518	27844
574	37597	27789
575	37663	27724
576	37734	27663
577	37801	27599
578	37869	27535
579	37940	27474
580	38002	27406
581	38074	27345
582	38140	27280
583	38206	27215
584	38269	27148
585	38329	27079
586	38396	27015
587	38453	26943
588	38526	26883
589	38593	26819
590	38659	26754
591	38723	26687
592	38803	26632
593	38875	26571
594	38948	26511
595	39014	26446
596	39078	26379
597	39153	26320
598	39228	26261
599	39296	26197
600	39369	26137
601	39434	26071
602	39496	26003
603	39569	25942
604	39640	25880
605	39706	25815
606	39773	25751
607	39841	25687
608	39915	25627
609	39985	25564
610	40059	25504
611	40123	25437
612	40183	25368
613	40261	25310
614	40329	25246
615	40385	25175
616	40460	25115
617	40536	25056
618	40599	24989
619	40661	24921
620	40722	24853
621	40791	24789
622	40857	24724
623	40915	24654
624	40988	24593
625	41063	24533
626	41140	24474
627	41208	24410
628	41281	24348
629	41350	24285
630	41442	24235
631	41521	24176
632	41587	24111
633	41649	24043
634	41705	23972
635	41769	23905
636	41833	23839
637	41901	23774
638	41959	23704
639	42021	23637
640	42079	23566
641	42160	23510
642	42232	23447
643	42300	23383
644	42356	23312
645	42428	23250
646	42493	23184
647	42567	23123
648	42628	23055
649	42699	22992
650	42769	22928
651	42844	22868
652	42920	22807
653	42988	22743
654	43053	22676
655	43123	22613
656	43184	22545
657	43249	22479
658	43311	22411
659	43377	22346
660	43442	22279
661	43515	22217
662	43575	22149
663	43637	22081
664	43698	22013
665	43756	21944
666	43817	21876
667	43891	21814
668	43953	21746
669	44033	21688
670	44104	21625
671	44167	21557
672	44241	21496
673	44305	21429
674	44371	21364
675	44431	21295
676	44496	21229
677	44562	21164
678	44636	21102
679	44699	21035
680	44767	20970
681	44830	20903
682	44894	20836
683	44972	20776
684	45045	20714
685	45112	20649
686	45190	20588
687	45267	20528
688	45347	20469
689	45414	20403
690	45473	20334
691	45537	20268
692	45596	20199
693	45657	20131
694	45716	20062
695	45785	19998
696	45860	19936
697	45917	19867
698	45975	19797
699	46047	19734
700	46119	19671
701	46180	19603
702	46252	19540
703	46313	19472
704	46375	19405
705	46435	19337
706	46517	19278
707	46586	19213
708	46646	19145
709	46720	19083
710	46789	19018
711	46849	18950
712	46919	18886
713	46986	18820
714	47052	18755
715	47121	18690
716	47195	18628
717	47255	18560
718	47311	18490
719	47373	18423
720	47435	18355
721	47500	18289
722	47559	18221
723	47633	18158
724	47697	18092
725	47762	18026
726	47823	17958
727	47894	17894
728	47963	17830
729	48034	17766
730	48094	17698
731	48153	17630
732	48213	17561
733	48274	17494
734	48349	17431
735	48421	17368
736	48482	17300
737	48558	17238
738	48618	17171
739	48680	17103
740	48765	17044
741	48835	16980
742	48898	16913
743	48974	16851
744	49038	16785
745	49098	16717
746	49168	16652
747	49237	16587
748	49304	16522
749	49365	16455
750	49426	16387
751	49489	16320
752	49551	16253
753	49613	16186
754	49675	16119
755	49741	16054
756	49817	15991
757	49879	15924
758	49947	15859
759	50007	15791
760	50062	15722
761	50124	15655
762	50199	15592
763	50268	15527
764	50335	15462
765	50403	15397
766	50473	15332
767	50535	15265
768	50614	15203
769	50685	15139
770	50762	15077
771	50833	15013
772	50900	14947
773	50969	14882
774	51033	14816
775	51098	14750
776	51164	14684
777	51231	14618
778	51299	14553
779	51365	14487
780	51432	14422
781	51502	14357
782	51575	14293
783	51646	14229
784	51714	14163
785	51781	14098
786	51851	14033
787	51919	13968
788	51991	13904
789	52057	13837
790	52130	13773
791	52196	13708
792	52256	13640
793	52321	13574
794	52383	13507
795	52446	13441
796	52511	13374
797	52568	13306
798	52633	13240
799	52701	13175
800	52761	13108
801	52825	13041
802	52891	12975
803	52960	12910
804	53027	12845
805	53094	12779
806	53157	12713
807	53224	12647
808	53307	12585
809	53378	12520
810	53455	12457
811	53526	12392
812	53594	12327
813	53666	12262
814	53734	12197
815	53801	12131
816	53866	12065
817	53932	11999
818	54004	11935
819	54101	11875
820	54175	11811
821	54252	11748
822	54327	11684
823	54403	11620
824	54481	11556
825	54553	11491
826	54633	11428
827	54694	11361
828	54762	11296
829	54825	11229
830	54889	11162
831	54953	11096
832	55008	11028
833	55072	10961
834	55135	10895
835	55194	10827
836	55255	10760
837	55312	10692
838	55369	10625
839	55439	10559
840	55500	10492
841	55572	10428
842	55648	10364
843	55708	10296
844	55786	10232
845	55843	10165
846	55907	10098
847	55980	10034
848	56064	9971
849	56138	9906
850	56222	9843
851	56288	9777
852	56373	9715
853	56432	9647
854	56501	9582
855	56574	9517
856	56642	9451
857	56701	9384
858	56761	9317
859	56819	9249
860	56882	9183
861	56941	9115
862	57007	9049
863	57068	8983
864	57151	8919
865	57219	8853
866	57290	8788
867	57351	8721
868	57411	8654
869	57480	8589
870	57546	8522
871	57609	8456
872	57682	8391
873	57744	8324
874	57803	8257
875	57866	8191
876	57928	8124
877	57990	8057
878	58047	7990
879	58115	7924
880	58183	7859
881	58241	7791
882	58295	7724
883	58357	7657
884	58430	7592
885	58512	7528
886	58577	7462
887	58648	7397
888	58715	7331
889	58791	7266
890	58858	7200
891	58925	7134
892	58994	7068
893	59054	7002
894	59129	6937
895	59221	6873
896	59305	6809
897	59369	6743
898	59429	6676
899	59514	6612
900	59598	6548
901	59658	6481
902	59718	6414
903	59793	6349
904	59856	6283
905	59919	6216
906	59988	6150
907	60052	6084
908	60121	6018
909	60183	5952
910	60266	5887
911	60337	5822
912	60404	5755
913	60461	5688
914	60547	5624
915	60688	5565
916	60786	5501
917	60992	5448
918	61062	5381
919	61178	5319
920	61273	5255
921	61405	5194
922	61518	5132
923	61587	5065
924	61656	4999
925	61718	4932
926	61794	4866
927	61860	4799
928	61949	4734
929	62017	4667
930	62076	4600
931	62173	4536
932	62315	4474
933	62407	4409
934	62518	4346
935	62596	4280
936	62722	4217
937	62791	4150
938	62866	4083
939	62975	4019
940	63083	3955
941	63158	3888
942	63239	3822
943	63327	3756
944	63413	3690
945	63494	3624
946	63587	3558
947	63714	3494
948	63837	3430
949	63968	3366
950	64040	3299
951	64159	3234
952	64239	3168
953	64326	3101
954	64419	3035
955	64514	2969
956	64624	2903
957	64717	2837
958	64819	2771
959	64960	2706
960	65023	2638
961	65092	2571
962	65154	2503
963	65238	2436
964	65305	2368
965	65387	2301
966	65450	2233
967	65514	2165
968	65587	2098
969	65666	2030
970	65730	1963
971	65801	1895
972	65933	1829
973	66011	1762
974	66076	1694
975	66140	1626
976	66208	1558
977	66276	1490
978	66351	1423
979	66438	1355
980	66506	1288
981	66572	1220
982	66642	1152
983	66717	1084
984	66780	1016
985	66846	949
986	66945	881
987	67015	813
988	67088	746
989	67167	678
990	67236	610
991	67300	542
992	67366	474
993	67441	407
994	67506	339
995	67583	271
996	67647	203
997	67717	135
998	67786	67
999	67859	0
